"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2015",0.71065142286847,
"AUS","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69490389763416,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2015",1.1851917977932,
"AUT","TAXENV","MOTORVEH","PC_GDP","A","2016",1.194103789601,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.69638277574742,
"BEL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.69049721274652,
"CZE","TAXENV","MOTORVEH","PC_GDP","A","2015",0.13687052034035,
"CZE","TAXENV","MOTORVEH","PC_GDP","A","2016",0.13142355239444,
"DNK","TAXENV","MOTORVEH","PC_GDP","A","2015",1.5477344632383,
"DNK","TAXENV","MOTORVEH","PC_GDP","A","2016",1.5773156000447,"E"
"FIN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.88166261436138,
"FIN","TAXENV","MOTORVEH","PC_GDP","A","2016",0.96476328987415,
"FRA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.23806183249826,
"FRA","TAXENV","MOTORVEH","PC_GDP","A","2016",0.18645841555083,
"DEU","TAXENV","MOTORVEH","PC_GDP","A","2015",0.32322063918433,
"DEU","TAXENV","MOTORVEH","PC_GDP","A","2016",0.31902699647916,
"HUN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.37085301691871,
"HUN","TAXENV","MOTORVEH","PC_GDP","A","2016",0.36786512246564,
"ISL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.68662150431747,
"ISL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.72040160109072,"E"
"IRL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.44674991583691,
"IRL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.398422742683,
"ITA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.59208929873689,
"ITA","TAXENV","MOTORVEH","PC_GDP","A","2016",0.62375844360325,
"JPN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.47548713664552,
"JPN","TAXENV","MOTORVEH","PC_GDP","A","2016",0.47375667222853,
"LUX","TAXENV","MOTORVEH","PC_GDP","A","2015",0.13332428761729,
"LUX","TAXENV","MOTORVEH","PC_GDP","A","2016",0.12765396063502,
"MEX","TAXENV","MOTORVEH","PC_GDP","A","2015",0.18777760660594,
"MEX","TAXENV","MOTORVEH","PC_GDP","A","2016",0.19150030270287,
"NLD","TAXENV","MOTORVEH","PC_GDP","A","2015",1.0483733986859,
"NLD","TAXENV","MOTORVEH","PC_GDP","A","2016",1.041107518644,
"NZL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.62162443244672,
"NZL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.60893038788859,
"NOR","TAXENV","MOTORVEH","PC_GDP","A","2015",0.91455813997467,
"NOR","TAXENV","MOTORVEH","PC_GDP","A","2016",0.92541695987633,
"POL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.10529111926262,
"POL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.12367714074846,
"PRT","TAXENV","MOTORVEH","PC_GDP","A","2015",0.62447467385953,
"PRT","TAXENV","MOTORVEH","PC_GDP","A","2016",0.67368226165031,
"SVK","TAXENV","MOTORVEH","PC_GDP","A","2015",0.18010952981854,
"SVK","TAXENV","MOTORVEH","PC_GDP","A","2016",0.17879594734239,
"ESP","TAXENV","MOTORVEH","PC_GDP","A","2015",0.23805599347065,
"ESP","TAXENV","MOTORVEH","PC_GDP","A","2016",0.23253900211701,
"SWE","TAXENV","MOTORVEH","PC_GDP","A","2015",0.44651488528741,
"SWE","TAXENV","MOTORVEH","PC_GDP","A","2016",0.44719376783728,
"CHE","TAXENV","MOTORVEH","PC_GDP","A","2015",0.67972538478626,
"CHE","TAXENV","MOTORVEH","PC_GDP","A","2016",0.6821715667674,"E"
"TUR","TAXENV","MOTORVEH","PC_GDP","A","2015",1.1429396221451,
"TUR","TAXENV","MOTORVEH","PC_GDP","A","2016",1.1209454060061,
"GBR","TAXENV","MOTORVEH","PC_GDP","A","2015",0.56801952521887,
"GBR","TAXENV","MOTORVEH","PC_GDP","A","2016",0.55566650964838,"E"
"USA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.21528380036876,
"USA","TAXENV","MOTORVEH","PC_GDP","A","2016",0.21125499890061,
"ARG","TAXENV","MOTORVEH","PC_GDP","A","2015",0.2860856244834,
"ARG","TAXENV","MOTORVEH","PC_GDP","A","2016",0.2813812665223,
"BOL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.04486224611091,
"BOL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.04954522887095,
"BGR","TAXENV","MOTORVEH","PC_GDP","A","2015",0.28574453621682,
"BGR","TAXENV","MOTORVEH","PC_GDP","A","2016",0.32428769033937,
"CMR","TAXENV","MOTORVEH","PC_GDP","A","2015",0.05333112391118,
"CHL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.27078128483582,
"CHL","TAXENV","MOTORVEH","PC_GDP","A","2016",0.28339175341708,
"CHN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.49420895569505,
"CRI","TAXENV","MOTORVEH","PC_GDP","A","2015",0.69711578769756,
"CRI","TAXENV","MOTORVEH","PC_GDP","A","2016",0.71789508465651,
"CIV","TAXENV","MOTORVEH","PC_GDP","A","2015",0.10505747823038,
"HRV","TAXENV","MOTORVEH","PC_GDP","A","2015",0.78233877735671,
"HRV","TAXENV","MOTORVEH","PC_GDP","A","2016",0.78903446618327,
"CYP","TAXENV","MOTORVEH","PC_GDP","A","2015",0.67692405732926,
"CYP","TAXENV","MOTORVEH","PC_GDP","A","2016",0.67346911208182,
"COD","TAXENV","MOTORVEH","PC_GDP","A","2015",0.00423568151627,
"DOM","TAXENV","MOTORVEH","PC_GDP","A","2015",0.45517019612919,
"DOM","TAXENV","MOTORVEH","PC_GDP","A","2016",0.50255039703055,
"ECU","TAXENV","MOTORVEH","PC_GDP","A","2015",1.6979176829931,
"ECU","TAXENV","MOTORVEH","PC_GDP","A","2016",1.5082629269581,
"SLV","TAXENV","MOTORVEH","PC_GDP","A","2015",0.46155816826505,
"SLV","TAXENV","MOTORVEH","PC_GDP","A","2016",0.48221262331205,
"EST","TAXENV","MOTORVEH","PC_GDP","A","2015",0.06798781331248,
"EST","TAXENV","MOTORVEH","PC_GDP","A","2016",0.07024805687837,"E"
"GHA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.17111867307708,
"GTM","TAXENV","MOTORVEH","PC_GDP","A","2015",0.33413354293349,
"GTM","TAXENV","MOTORVEH","PC_GDP","A","2016",0.33535738276321,
"HND","TAXENV","MOTORVEH","PC_GDP","A","2015",0,
"HND","TAXENV","MOTORVEH","PC_GDP","A","2016",0,
"JAM","TAXENV","MOTORVEH","PC_GDP","A","2015",0.7766532153683,
"JAM","TAXENV","MOTORVEH","PC_GDP","A","2016",0.8961398692153,
"KAZ","TAXENV","MOTORVEH","PC_GDP","A","2015",0.10568648514666,
"KEN","TAXENV","MOTORVEH","PC_GDP","A","2015",1.0745722757072,
"LVA","TAXENV","MOTORVEH","PC_GDP","A","2015",0.52702835842676,
"LVA","TAXENV","MOTORVEH","PC_GDP","A","2016",0.53763161367555,
"LTU","TAXENV","MOTORVEH","PC_GDP","A","2015",0.084772579574,
"LTU","TAXENV","MOTORVEH","PC_GDP","A","2016",0.08700999055903,
"MYS","TAXENV","MOTORVEH","PC_GDP","A","2015",0.22742918849113,
"MLT","TAXENV","MOTORVEH","PC_GDP","A","2015",1.1363103872577,
"MLT","TAXENV","MOTORVEH","PC_GDP","A","2016",1.1020849129174,
"MUS","TAXENV","MOTORVEH","PC_GDP","A","2015",1.5326006435333,
"MAR","TAXENV","MOTORVEH","PC_GDP","A","2015",0.19830200852695,
"NIC","TAXENV","MOTORVEH","PC_GDP","A","2015",0.0174585596283,
"NIC","TAXENV","MOTORVEH","PC_GDP","A","2016",0.00897806698021,
"NER","TAXENV","MOTORVEH","PC_GDP","A","2015",0.12464324435584,
"PAN","TAXENV","MOTORVEH","PC_GDP","A","2015",0.3376412647849,
"PAN","TAXENV","MOTORVEH","PC_GDP","A","2016",0.31811314669053,
"PRY","TAXENV","MOTORVEH","PC_GDP","A","2015",0.06953637511133,
"PRY","TAXENV","MOTORVEH","PC_GDP","A","2016",0.07116494231818,
"PER","TAXENV","MOTORVEH","PC_GDP","A","2015",0.04666954938949,
"PER","TAXENV","MOTORVEH","PC_GDP","A","2016",0.04698979156779,
"PHL","TAXENV","MOTORVEH","PC_GDP","A","2015",0.1165136713781,
